SEQ_AUTO_INFRACAO;QUANTIDADE;UNIDADE;TIPO;GRUPO;NOME_POPULAR;NOME_CIENTIFICO;CITES;DESCRICAO;CARACTERISTICA;SITUACAO;ULTIMA_ATUALIZACAO_RELATORIO
1912848;7;Unidade;Fauna;;Arara-vermelha-grande;Ara chloroptera;S;;Vivo;;08/11/2022 19:00
1912848;1;Unidade;Fauna;;Papagaio-campeiro;Amazona ochrocephala;S;;Vivo;;08/11/2022 19:00
1912848;2;Unidade;Fauna;;Papagaio-do-mangue;Amazona amazonica;S;;Vivo;;08/11/2022 19:00
1912848;18;Unidade;Fauna;;Ararajuba;Guarouba guarouba;S;;Vivo;;08/11/2022 19:00
1912848;3;Unidade;Fauna;;Coleira-do-norte;Sporophila americana;N;;Vivo;;08/11/2022 19:00
1912848;26;Unidade;Fauna;;Curió;Oryzoborus angolensis;N;;Vivo;;08/11/2022 19:00
1816191;600;kg (1.000 L);Pesca;Pescado;Sardinha-verdadeira;Sardinella janeiro;N;;Vivo;;08/11/2022 19:00
1816191;16767;kg (1.000 L);Pesca;Pescado;White-bonito;Katsuwonus pelamis;N;;Morto;;08/11/2022 19:00
1822749;15;Unidade;Fauna;Ave;Curió;Oryzoborus angolensis;N;;Vivo;;08/11/2022 19:00
1867029;;m³;Flora;Tora;Angelim-pedra;Hymenolobium heterocarpum;N;;Morta;;08/11/2022 19:00
1867029;;m³;Flora;Tora;Angelim-amargoso;Vataireopsis araroba;N;;Morta;;08/11/2022 19:00
1867029;;m³;Flora;Tora;Abacate-bravo;Pisonia  spp.;N;;Morta;;08/11/2022 19:00
1867029;;m³;Flora;Tora;Ticica;Clarisia racemosa;N;;Morta;;08/11/2022 19:00
1784960;276;kg (1.000 L);Pesca;Pescado;Sarda-de-cachas;Sphyrna zygaena;S;;Morto;;08/11/2022 19:00
1869954;1;Unidade;Fauna;Ave;Curió;Oryzoborus angolensis;N;;Vivo;;08/11/2022 19:00
1857024;5;Unidade;Fauna;Ave;Papa-capim;Sporophila caerulescens;N;;Vivo;;08/11/2022 19:00
1910899;1;Unidade;Fauna;Ave;Galo-da-campina;Paroaria dominicana;N;;Vivo;;08/11/2022 19:00
1802779;6972;M³;Flora;Tora;Louro;Cupania  spp.;N;;Morta;;08/11/2022 19:00
1802779;7053;M³;Flora;Tora;Muiracatiara;Astronium ulei;N;;Morta;;08/11/2022 19:00
1882013;1;Unidade;Fauna;Ave;Curió;Oryzoborus angolensis;N;;Vivo;;08/11/2022 19:00
1882013;1;Unidade;Fauna;Ave;Bicudo;Oryzoborus maximiliani;N;;Vivo;;08/11/2022 19:00
1882013;1;Unidade;Fauna;Ave;Periquito-estrela;Brotogeris sanctithomae;N;;Vivo;;08/11/2022 19:00
1882013;1;Unidade;Fauna;Ave;Periquito-da-caatinga;Aratinga cactorum;N;;Vivo;;08/11/2022 19:00
1806662;1;Unidade;Fauna;Ave;Graúna;Gnorimopsar chopi;N;;Vivo;;08/11/2022 19:00
1806662;1;Unidade;Fauna;Ave;Corrupião;;N;;Vivo;;08/11/2022 19:00
1806662;1;Unidade;Fauna;Ave;Trinca-ferro-verdadeiro;Saltator similis;N;;Vivo;;08/11/2022 19:00
1854599;5;Unidade;Fauna;Ave;Canário-da-terra-verdadeiro;Sicalis flaveola;N;;Vivo;;08/11/2022 19:00
1854599;2;Unidade;Fauna;Ave;Baiano;Sporophila nigricollis;N;;Vivo;;08/11/2022 19:00
1800302;30;Unidade;Pesca;Peixes Ornamentais;;;N;;Vivo;;08/11/2022 19:00
1994004;1;Unidade;Fauna;Ave;Tico-tico;Zonotrichia capensis;N;;Vivo;;08/11/2022 19:00
1994004;8;Unidade;Fauna;Ave;Trinca-ferro-verdadeiro;Saltator similis;N;;Vivo;;08/11/2022 19:00
1994004;8;Unidade;Fauna;Ave;Cravina;Pithecellobium  spp.;N;;Vivo;;08/11/2022 19:00
